region	n	trait	results	abbreviation	category	color
region_chr6_30830391_31603441	5135	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr9_91404921_93909416	75	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_49430885_50804870	32	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_141620255_143445786	310	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_31603441_32714887	5482	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr11_127446784_128318642	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr12_54385039_55272053	2	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_107867043_109761309	11	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr1_204711940_206268085	331	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr1_226623159_229020501	890	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_16148467_18466157	1	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr9_93909416_96159758	456	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr11_59013076_62456299	108	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr14_22549721_24435917	69	SSGAC_Education_Years_Pooled	gwas	EDU	Psychiatric-neurologic	#0000A0
region_chr15_98700830_100096642	2	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr2_217530757_219589829	539	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr2_84913556_87738988	50	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr5_40287627_41888608	641	IBD.EUR.Crohns_Disease	gwas	CD	Immune	#40A0A0
region_chr6_105608858_107129102	6	IBD.EUR.Inflammatory_Bowel_Disease	gwas	IBD	Immune	#40A0A0
region_chr6_24852047_25684359	54	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr6_73924_1452127	2	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr16_20139249_22437583	37	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr19_6684874_8282629	5	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr21_44757190_46072312	83	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr3_181793378_184051895	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_176023592_177824506	33	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr6_28949831_29770194	1	UKB_20002_1464_self_reported_rheumatoid_arthritis	gwas	RA_UKBS	Immune	#40A0A0
region_chr9_10023_1079707	20	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr12_55272053_57155077	67	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr1_115337972_118296444	80	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr20_25363595_33027017	557	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr3_49279539_51797999	94	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr4_8150508_9324753	33	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr4_82451440_83878503	220	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr5_147802435_149283061	33	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr9_6557589_7154923	29	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr11_100546438_101460390	20	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr1_203365606_204711940	8	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr2_23118512_24464049	513	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr2_235134906_236540389	1	SSGAC_Education_Years_Pooled	gwas	EDU	Psychiatric-neurologic	#0000A0
region_chr2_24464049_26672117	21	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr6_108143176_109983044	319	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr8_7295557_9297184	116	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr9_4884926_6557589	1	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr11_116512631_117876395	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr15_62923023_64812469	125	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr17_63468228_65152010	13	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr1_10583_1961168	26	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr1_112730684_114331223	3	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	gwas	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr1_156366342_158057622	2	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr1_247181216_248945267	368	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr8_118673218_120189461	1	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr11_114387006_114959946	3	IBD.EUR.Ulcerative_Colitis	gwas	UC	Immune	#40A0A0
region_chr11_128318642_130472680	1	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr11_128318642_130472680	58	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr12_48608083_51382710	212	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	62	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr15_49715846_51385363	97	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr19_4348970_5811841	38	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr1_158057622_159943258	711	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr3_195065945_196244537	262	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr3_41023037_42498510	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_47685722_49279539	36	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_133923105_135903039	786	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr7_16161_933116	80	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr12_67515949_69432762	12	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr13_48809826_51016955	21	Astle_et_al_2016_Myeloid_white_cell_count	gwas	MWBC	Blood	#C00000
region_chr20_20979069_22510818	786	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	gwas	BLDP3_UKB	Hair morphology	#808000
region_chr3_140235755_141620255	114	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr4_37253425_38905401	26	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr5_52838788_54407214	8	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_31603441_32714887	4960	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr8_78220626_81044160	131	UKB_6152_8_diagnosed_by_doctor_Asthma	gwas	ATH_UKB	Immune	#40A0A0
region_chr11_117876395_119344766	1	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr11_59013076_62456299	4	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr11_94509094_95992877	4	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_17934939_20711009	111	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr12_27646840_29498322	1110	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_44979537_47798656	4	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr17_57280180_59410151	370	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr3_70399877_72480178	10	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr4_71274841_73726673	11	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr11_64037097_66131160	3	UKB_20002_1452_self_reported_eczema_or_dermatitis	gwas	ECZ_UKBS	Allergy	#FFFF00
region_chr13_40495126_42526891	1	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr17_31459473_33211407	65	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr8_129368893_130627379	3	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr11_28460046_30119810	5	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr14_24435917_25666480	25	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr16_53348660_55869862	107	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr17_44979537_47798656	65	ENIGMA_Intracraneal_Volume	gwas	ICV	Anthropometric	#404040
region_chr1_22760390_23594100	187	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr22_27438791_29255810	10	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr2_163610128_164322330	4	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_201953914_204934518	142	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr4_99757203_102300199	82	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr6_108143176_109983044	5	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr6_28050041_28949831	432	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	gwas	HYPERTHY_UKBS	Endocrine system	#FF8000
region_chr9_107932781_110015744	1	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr16_52001911_53348660	26	BCAC_ER_positive_BreastCancer_EUR	gwas	ERPBC	Cancer	#A0A0A0
region_chr2_164322330_166303760	21	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr2_241210506_242147200	153	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr5_179974244_181132933	99	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_40845818_41863936	18	EGG_BW3_EUR	gwas	BW	Anthropometric	#404040
region_chr8_4622954_5289405	2	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_44672249_46984586	11	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	gwas	DVT_UKBS	Cardiometabolic	#004000
region_chr12_58914885_60729948	20	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr12_89288345_91672378	9	PGC_ADHD_EUR_2017	gwas	ADHD	Psychiatric-neurologic	#0000A0
region_chr13_29909130_31727678	89	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	gwas	BLDP4_UKB	Hair morphology	#808000
region_chr14_35390387_38198520	9	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr15_73336373_76106283	176	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr16_29025292_31371622	148	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr19_11173352_13360313	2	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr19_44239955_45599439	15	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr5_178986463_179974244	18	Astle_et_al_2016_White_blood_cell_count	gwas	WBC	Blood	#C00000
region_chr6_130614309_132444530	10	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_154652986_156442192	102	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_100608730_103111078	1	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr10_87367307_89253624	53	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_12542682_13351577	309	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr12_44631_971165	2	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr14_53531113_54766963	12	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr15_68725660_69841002	81	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr18_69508584_70953943	35	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_201953914_204934518	296	CARDIoGRAM_C4D_CAD_ADDITIVE	gwas	CAD	Cardiometabolic	#004000
region_chr3_114229016_115728233	34	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	gwas	BLDP2_UKB	Hair morphology	#808000
region_chr17_44979537_47798656	1	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr1_158057622_159943258	228	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr1_71218722_73861224	17	SSGAC_Education_Years_Pooled	gwas	EDU	Psychiatric-neurologic	#0000A0
region_chr3_46616010_47685722	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr5_130183332_132803957	151	EAGLE_Eczema	gwas	ECZ	Allergy	#FFFF00
region_chr6_29770194_30830391	2381	Astle_et_al_2016_Eosinophil_counts	gwas	EC	Blood	#C00000
region_chr6_31603441_32714887	263	UKB_20002_1452_self_reported_eczema_or_dermatitis	gwas	ECZ_UKBS	Allergy	#FFFF00
region_chr7_7769121_9083793	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr13_75096006_76836420	58	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr17_3799018_4792966	8	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr17_44979537_47798656	2882	Astle_et_al_2016_Sum_eosinophil_basophil_counts	gwas	EBC	Blood	#C00000
region_chr17_57280180_59410151	20	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr19_610729_2098397	4	Astle_et_al_2016_Monocyte_count	gwas	MC	Blood	#C00000
region_chr2_166499460_169111726	121	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr2_26672117_28375910	28	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr3_117081306_118811404	11	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr8_45929693_49169911	51	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr10_122141030_124109830	12	UKB_1160_Sleep_duration	gwas	SLEEP_UKB	Psychiatric-neurologic	#0000A0
region_chr12_65165915_66787364	88	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	39	Astle_et_al_2016_High_light_scatter_reticulocyte_count	gwas	HRET	Blood	#C00000
region_chr14_35390387_38198520	18	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
region_chr17_3799018_4792966	194	Astle_et_al_2016_Lymphocyte_counts	gwas	LC	Blood	#C00000
region_chr2_217530757_219589829	75	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr3_135738064_137652241	396	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr4_86613495_88316876	48	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr5_167420735_169098313	47	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr6_30830391_31603441	2208	UKB_20002_1111_self_reported_asthma	gwas	ATH_UKBS	Allergy	#FFFF00
region_chr7_114072332_117140124	76	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr9_132423455_134176000	10	MAGNETIC_IDL.TG	gwas	IDL	Cardiometabolic	#004000
region_chr17_29007226_31459473	9	UKB_20022_Birth_weight	gwas	BW_UKB	Anthropometric	#404040
region_chr1_247181216_248945267	18	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr1_9305140_10746927	24	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr2_53281314_54458089	22	Jones_et_al_2016_Chronotype	gwas	CHRONO	Psychiatric-neurologic	#0000A0
region_chr3_128476018_130525891	1	IMMUNOBASE_Systemic_lupus_erythematosus_hg19	gwas	SLE	Immune	#40A0A0
region_chr3_51797999_54047363	20	UKB_20002_1065_self_reported_hypertension	gwas	HPT_UKBS	Cardiometabolic	#004000
region_chr7_25869935_28320690	71	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	gwas	HAY_UKB	Immune	#40A0A0
region_chr7_933116_1313431	13	Astle_et_al_2016_Red_blood_cell_count	gwas	RBC	Blood	#C00000
region_chr16_65904663_68807460	374	Astle_et_al_2016_Reticulocyte_count	gwas	RET	Blood	#C00000
region_chr20_50623121_53856010	298	UKB_21001_Body_mass_index_BMI	gwas	BMI_UKB	Anthropometric	#404040
region_chr22_38911889_40149793	16	RA_OKADA_TRANS_ETHNIC	gwas	RA	Immune	#40A0A0
region_chr5_66615458_68555033	1	UKB_23099_Body_fat_percentage	gwas	FAT_UKB	Anthropometric	#404040
region_chr7_2732593_4533797	164	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr8_139713400_141963553	17	Astle_et_al_2016_Neutrophil_count	gwas	NC	Blood	#C00000
region_chr9_115159681_118559259	475	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr11_33937192_35481057	161	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	gwas	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr19_44239955_45599439	54	Astle_et_al_2016_Sum_basophil_neutrophil_counts	gwas	BNC	Blood	#C00000
region_chr19_9127717_11173352	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	gwas	NEC	Blood	#C00000
region_chr2_40054343_43082452	161	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr3_184051895_185350467	117	Astle_et_al_2016_Platelet_count	gwas	PLT	Blood	#C00000
region_chr5_151181737_153488214	14	pgc.scz2	gwas	SCZ	Psychiatric-neurologic	#0000A0
region_chr6_53414304_55603472	99	UKB_1180_Morning_or_evening_person_chronotype	gwas	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr10_22886203_25289667	13	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr12_55272053_57155077	46	UKB_20002_1265_self_reported_migraine	gwas	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr12_96715061_98912209	5	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr17_38653091_40721152	669	Astle_et_al_2016_Granulocyte_count	gwas	GC	Blood	#C00000
region_chr1_203365606_204711940	34	SSGAC_Education_Years_Pooled	gwas	EDU	Psychiatric-neurologic	#0000A0
region_chr4_184008302_185987936	1	UKB_50_Standing_height	gwas	HEIGHT_UKB	Anthropometric	#404040
region_chr6_74752287_76705164	263	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr7_25869935_28320690	82	GIANT_HEIGHT	gwas	HEIGHT	Anthropometric	#404040
region_chr10_19427949_22483354	172	BCAC_ER_negative_BreastCancer_EUR	gwas	ERNBC	Cancer	#A0A0A0
region_chr11_68238358_69701362	103	BCAC_Overall_BreastCancer_EUR	gwas	BC	Cancer	#A0A0A0
